id,text,label,topic,probability
11,油到靠北！700元吃火锅肥滋滋这盘端上桌 网：是草莓蛋糕吗？ 天冷许多人都想吃火锅。一名网友PO出一张几乎都是肥肉的牛肉盘，指花700多元吃火锅套餐，却看到店家端这种东西给客人，让她气到PO文抱怨，引发网友热议，有网友说，“油到靠北”、“可以炸牛油了”，还有网友说，“猛一看还以为是草莓蛋糕”。,生活,2,0.9819692
12,【即时短评】中华队留下大巨蛋首胜 是对柯P最大的讽刺 中华队昨天在1万7000名球迷见证下，不仅在亚锦赛中击败宿敌韩国队，更留下大巨蛋正史启用后的第一胜。只不过，原本预计2015年就要孵出的大巨蛋，因为被柯文哲扣上了“弊案”二个字一拖就是8年，中华队这历史的一胜，也是柯文哲行政能力最大的讽刺。,体育,11,0.9812484
13,台湾缺工又低薪 水泥工曝30年前收入：年轻人被1制度害惨 大环境缺工问题难解，对于很多人来说，宁可失业也不要低薪。一名从业30年的水泥工认为，是过去“教育体制”种下了缺工的种子，如今萌芽后，也让年轻世代更加难过。,经济,4,0.9732103
14,3年轻人量贩店拿杀虫剂玩火酿灾 肇祸男没钱交保改饬回 中坜一家量贩店昨天凌晨近4时发生火警，警消清查发现竟是3名屁孩玩乐酿祸，检察官複讯令点火的郭男（左1）2万元交保候传，黄、周姓同事则限制住居。记者陈恩惠／翻摄,社会,11,0.98161554
15,亚锦赛／这支中华队让教练很头痛？陈孝允没让郭李失望 中华队今天在亚洲棒球锦标赛开幕战以4：0击败南韩，先发打线唯一业馀代表、出身合库队的29岁好手陈孝允，3局下关键安打成为致胜一击，也是台北大巨蛋第1分打点，他说：“ 其实打进来时，没想过会是历史性第1分，做好该做的工作最重要。”,体育,4,0.9819685
16,大雪将至迎孤鸾龙年 4生肖宜大破大立求转运 12月7日迎来节气“大雪”，是“黑兔年”倒数第4个节气，后续迎来甲辰龙年，但民俗专家廖大乙说，明年是“无春年”就是孤鸾年，龙、狗、羊、牛等4生肖犯太岁，气弱运低，建议要有大破大立的决心，并把握剩下节气补气行善求转运。,文化娱乐,6,0.98086566
17,萧美琴“国籍争议”恐陷选举危机 郭正亮揭内幕：吵不下去的 近日，国民党籍议员王欣仪、游淑慧质疑，民进党副总统参选人萧美琴在2000年时没有台湾身分证，直到2002年才申请，怀疑萧曾放弃国籍又再回复，不具参选资格，喊话相关单位应严肃查验。对此，前立委郭正亮3日表示，萧美琴并非没有国籍，而是没有“户籍”。,政治,4,0.9829527
18,王鸿薇爆潘孟安住建商豪宅 赖竞总：赁屋万华和助理住 去年九合一大选后，屏东县前县长潘孟安不入阁，加入民进党总统参选人赖清德团队，担任竞选总干事全心替赖辅选。不过，国民党立委王鸿薇今天揭露，潘孟安北上辅选后，入住绿能厂商“力能能源科技”董事长杨宗名下豪宅，位于万华的“力麒御品”，一户要价五千多万元，潘孟安与男性助理共同住在53坪双车位房内。杨宗背后更是大有来头。,政治,10,0.9873298
19,没南横活不下去？人潮留不住 甲仙商圈力求走出困境 南横复通第二个周末，甲仙人潮仍旧没有想像中踊跃，餐厅业者感叹“见很多重机车队呼啸而过”，但停下消费不多。部分业者则认为是被选举拖累，越接近投票日，造势活动多，出门游玩人数就减少。甲仙形象商圈理事长林玮凌表示，不少南横旅行者都在跟时间赛跑，商圈已著手改造，一定要为地方留住人潮。,旅游,4,0.98511666
20,独／司法官学院惊爆两名准司法官性骚女同学 1人原职是警察 法务部司法官学院惊爆男学员性骚扰事件，加害人不止1人！训练中的2名男学员遭指控利用与女同侪聚会时无视性别礼仪，行为失序，参与聚会同学认为准司法官品操下贱不能姑息，提出检举，学院官员处理中。,法律,8,0.9832572
21,这档金控股明年恢复配息 外资上周大买超卡位 根据台湾证券交易所统计，上周外资在集中市场买超372.84亿元，买超个股中，以明年有望恢复正常配息的开发金（2883）24.04万张最多，另卖超联电（2303）9.85万张最多。,经济,11,0.9724241
22,亚锦赛／茫茫人海寻叶总 徐若熙：一天没看到他就怪怪 徐若熙今天把台北大巨蛋变成他的“三振秀”舞台，先发7局无失分，狂赏南韩队打者10次三振，率领中华队在亚洲棒球锦标赛开幕战以4：0赢球。母队味全龙队总教练叶君璋今天也在观众席上，徐若熙坦言知道他大概坐在什麽位置，在感觉自己动作怪怪时，也不自觉想要寻找他的身影。,体育,10,0.98383456
23,潘孟安 被爆入住绿能厂商豪宅 去年九合一选举后，屏东县前县长潘孟安未入阁，选择加入民进党总统参选人赖清德团队，担任竞选总干事，全心为赖辅选。不过，国民党立委王鸿薇接获爆料，潘孟安北上辅选后，入住绿能厂商“力能能源科技”董事长杨宗名下豪宅、位于万华的“力麒御品”，一户要价五千多万元。,政治,14,0.98263776
24,谁卡大巨蛋？ 游梓翔、李来希骂柯文哲 黄珊珊指内政部 台北大巨蛋昨天迎首场正式比赛，亚锦赛开幕战中华队以4比0击败南韩，国人讨论热烈。世新大学传播博士学程教授游梓翔、全国公务人员协会前理事长李来希都批民众党总统参选人柯文哲时任台北市长任内卡蛋。柯文哲竞选总干事黄珊珊则直指内政部卡蛋1年多，“不然2022年底早就可以启用”。,体育,10,0.98579425
25,9-10月统一发票中奖清册看这裡！幸运儿花15元中千万大奖 财政部赋税署今天公布9-10月期统一发票中奖清册，200万元特奖和1000万元特别奖分别开出15张，其中千万大奖最幸运的民众出现在桃园市中坜区龙慈路59号、61号的全家便利商店，只花15元的手续费就中奖，至于200万元特奖的幸运儿只花了9元的列印费，奖落新北市中和区民安街27、29号的7-ELEVEN。,经济,13,0.98325723
26,重电四雄订单满档 台电强韧电网计画持续放电，重电四雄中包括中兴电（1513）、华城、士电及亚力在手订单满档，各有亮点与利基。法人预期，四雄均有望在第4季交出漂亮的营运成绩单。,商业,2,0.9724229
27,美丽岛公布大选民调！赖萧配、柯盈配支持度上升 侯康配下滑 美丽岛电子报今天公布第81波民调，调查时间为11月29日、11月30日、12月1日，民进党赖萧配37.8%、国民党侯康配29.5%、民众党柯盈配17.7%。,政治,6,0.9724243
28,国籍争议明见真章...吴欣盈遭质疑出国“避风头” 黄珊珊：早就订好的行程 民众党副总统参选人吴欣盈遭质疑有双重国籍，民众党总统参选人柯文哲竞选总干事黄珊珊今天表示，对于吴欣盈国籍的问题，既然大家有疑问，那就交给中选会查核，至于吴欣盈要前往杜拜参加气候变迁大会，这是早就订好的行程，没有人要避风头。,政治,3,0.98196965
29,穿DPP制服激吻、住建商豪宅... 赖清德团队怎麽了？ 总统大选进入短兵相接阶段，民进党总统参选人赖清德团队频出包，赖清德辅选大将林正鸿被爆早上在组织部操盘，晚上穿著民进党制服上酒店激吻酒店陪侍；赖清德核心干部潘孟安今被揭露北上辅选住进率能董座豪宅，赖办反击“中南部子弟北上打拚也都选择租房”，但该栋豪宅每月6万8千元还有两车位，屋主杨宗近期在屏东拓展光电事业，也遭民代质疑双方关係。,政治,5,0.98766345
30,台湾建商怎麽没爆炸？ 专家：央行不愧是超级Ａ 德国、法国、瑞典、芬兰等欧元区主要国家建设公司近来大量破产，中国、澳洲、越南，乃至于日本与美国，破产的建商数量也较前年明显增加，很多人好奇，“台湾建商怎麽没爆炸？”,经济,4,0.9759578
31,出国躲国籍风波？吴欣盈再呛媒体：希望以后提问先查证 民众党副总统参选人、立法委员吴欣盈深陷国籍疑云，遭疑有双重国籍，受访时更一度反呛媒体“妳当记者有问爸妈吗？”。吴欣盈今担任立院卫环委员会召委，会后由民众党安排媒体联访，被问到是否为躲避国籍问题而出国，她再度反呛媒体：“希望媒体以后问问题要做功课，自己查证一下。”立法院安排代表民众党出国去COP的行程，十月就已经订下。,政治,8,0.9873297
32,悲剧！ 随父母逛服装店、3岁女独自玩巨镜惨遭压毙 事发影片疯传 印度发生女童被巨大镜子压死的惨剧！当地1名3岁女童日前和父母行服饰店时，独自留在玻璃门附近玩巨大镜子，当她抓住把手旋转时，巨镜突然塌下将她压倒，虽即时送院仍终告不治。,社会,2,0.9808651
33,不怕违停！桃园店家“停车规划”超强 8千人朝圣喊：有日本的感觉 台湾地窄人稠，道路常常出现违规停车、併排等恶习。近日脸书“台湾交通安全协会”发文分享，在中坜某处的新商店，把建筑物往内退缩，把土地空出来给顾客停车用，大讚“台湾能做到这样的店家没多少”，网友也推，“有日本路面店规划的感觉”。,社会,7,0.981969
34,中坜量贩店大火消防勘验火场 家乐福：中原店停业恐逾2周 桃园市消防局至家乐福中原店火场鑑定调查，店方公告停业，估计停业不只1、2周，可能要更久。记者曾增勳／摄影桃园市中坜区家乐福中原店昨天因3年轻人以杀虫剂与打火机在地下一楼卖场嘻闹，造成全栋火警，地下一楼窜出大量浓烟，警消百人灌救及时灭火，该店损失惨重，消防局火调科人员今天上午至火场鑑定调查，家乐福公关主管中午表示，目前火场鑑定调查中，停业时间还需一段时间、不只1、2周，可能要更久，实际时间还要等总部正式公告。,社会,0,0.9900259
35,他捡14张百元假美钞奔银行换钱 台银总行报警抓人 苏姓男子日前整理资源回收物时，在红包袋内发现14张面额百元的美钞，兴高采烈跑去银行要换成台币，两间不同银行查看，均认为颜色怪异、质感老旧，不确定是否为真钞，建议他去台湾银行总行询问，总行一比对，确认是假钞立刻报警。苏男在场不断喊冤，但因意图行使伪造货币，仍被依伪造有价证券罪送办。,法律,13,0.98621154
36,萧美琴国籍争议 游淑慧点出这件事 重点应当事人说明 民进党副总统参选人萧美琴的国籍争议，国民党大同士林立委参选人游淑慧今天贴出萧美琴今年9月7日在脸书贴出的一篇报导，上头标题为“华裔美籍萧美琴，高分考上省南女，返美升学留下佳话”。游说，萧美琴的国籍争议疑虑起源，是来自10几年前、萧美琴当事人的自述，不是在野的爆料。,政治,3,0.98462933
37,兆丰金（2886）增资价33元别为了参加买进！ 专家：本就股东者没钱“用这招”也要参加 兆丰金（2886）近日举行法说会，会中总经理萧玉美说明，现金增资案已由金管会核准，发行股数3.5亿股，增资主要的用途是45亿元用于兆丰产险的增资，以及偿还上一次兆丰产险的增资款60亿元，预计会在明年的1月底完成。,商业,15,0.9829533
38,卢秀燕率蓝小鸡 帮蔡壁如站台 民众党台中市第一选区立委参选人蔡壁如昨成立竞选总部，蓝白总统选举虽分道扬镳，但台中市长卢秀燕接下竞总主委，昨还率国民党立委参选人到场力挺；不过，卢不仅未与民众党总统参选人柯文哲同框，连国民党立委及参选人也全数迴避。卢致词时说，她担任蔡壁如志工，不是为哪个政党，是为了台中、台湾更好。,政治,4,0.9835505
39,OL入住猫旅馆“2喵管家陪睡陪工作” 结果整晚睡不著进度挂0超无言：要给负评了 这不知道是幸福还是不幸福。一名女子到相当有名的猫咪旅馆投宿，想说租两隻猫咪管家回到房间内陪自己睡觉跟工作，结果没想到把猫咪带回房后被干扰到完全无法工作，让她无言直呼“这要给负评了”。,社会,3,0.9816152
40,亚锦赛／球迷在大巨蛋外一度疑惑 下雨天比赛打不打？ 亚洲棒球锦标赛第2天赛事，表定中午12点半分别在台北大巨蛋、台中洲际球场进行的比赛，受到天气影响出现不同结果，台北菲律宾、泰国之战准时开打，台中香港、巴勒斯坦之战因雨延后，“巨蛋效应”已经浮现。,体育,4,0.9796167
41,萧美琴国籍争议 内政部：三组候选人都符合规定 民进党副总统参选人萧美琴国籍事件闹得沸沸扬扬。内政部发言人林昆锋今天表示，关于三组正副总统参选人是否拥有中华民国国籍一事，中选会函询内政部确认，经查所询对象三组（六名）的资格，均符合内政部执掌的相关规定，内政部并已函覆中选会。,政治,9,0.98124844
42,国1北上新竹段凌晨条状钢铁散落 43车接连碰撞受损 国道1号北上97.6公里处新竹段今天凌晨1点多车道上忽然出现钢铁条状物品，由于是深夜，路段昏暗，连续有多台车经过没察觉，直接碰撞车道上散落物，造成车体、轮胎受损，在车道上等待拖吊车救援，总计共43部车受损，目前警方正调阅监视器，追查散落物车主，细节仍待釐清。国道1号北上97.6公里处今天凌晨1点多车道上忽然出现钢铁条状物品，由于是深夜，路段昏暗，陆续有多台车经过没察觉，直接碰撞车道上散落物。记者王骏杰／翻摄自记者爆料网 ,交通,9,0.9903342
43,今锋面中部以北降雨明显 吴德荣：明好转周三水气再增 锋面及华南云雨区东移影响，中央气象署发布大雨特报，今天基隆北海岸有局部大雨发生的机率。中央大学大气科学系兼任副教授吴德荣今天在“三立准气象.老大洩天机”专栏表示，今晨锋面云系移入，伴随降水回波，苗栗以北已有明显降雨。,气象,7,0.98355055
44,中原店火警后暂停营业 家乐福发声明：公安待鑑定评估 位于桃园市中坜区的家乐福中原店，今（4）日清晨因3年轻人以杀虫剂与打火机于地下一楼卖场玩乐，导致全栋卖场火警，家乐福今日下午发出声明表示，中原店目前暂停营业，为考量顾客安全为第一优先，待中原店内部修缮后，遵循相关法规包含：建筑、消防、公共安全等鑑定评估，才能恢复营业。,社会,12,0.9841087
45,霉浆菌不仅在中国爆发 抗生素、呼吸器医材股都涨停了 中国呼吸道疾病疫情上升，疾管署已于4处国际机场针对中港澳入境有症状旅客“定点监测、鼓励採检”，此外，国内近日流感、新冠也有增加趋势，市场预期，冬季病毒大爆发在未来2个月，甚至恐一路延烧到明年春节，使得防疫相关需求再度攀升，除了口罩，快筛的需求也将回升。,健康,15,0.98325735
46,少女搭机上厕所疑遭空少iPhone偷拍 惨现PTSD症状怒告美航 美国一名14岁的少女与家人搭乘飞机，因途中想上厕所，便跟随空服员的指示。不过，少女在上完厕所后，却惊讶的发现马桶盖子上黏了一台手机，自己的如厕过程疑似遭到录影，因此出现创伤后压力症候群的症状。,法律,10,0.9796172
47,"黄狗被小主人强迫陪读 无聊到打瞌睡遭“一掌强制开机”满脸懵：我太难了... 狗狗陪读太不容易了。一隻小黄狗守在念书的小主人身旁陪伴，听课文时打起瞌睡，被小主人一掌拍醒，神情感觉相当无奈。
",生活,5,0.9732118
48,汐止夫妻双尸相验 家属悲“好好的女孩子被割成这样” 新北市汐止区蓝姓夫妻昨天双双陈尸在家中浴室，脖子上都有割伤，地上留下大量血迹。警方勘验后初步排除外力介入，今天下午检警相验夫妻遗体，死者蓝男及陈女家属也都到场，面对询问均一语不发。疑似陈女家属向葬仪社人员比出割喉手势并表示：“好好的女孩子被割成这样。”确切死因仍待检察官相验釐清。,法律,0,0.9853502
49,结婚快20年！高级餐饮连锁店经理“已堕胎11次” 无助哭喊：我还有救吗？ 堕胎，我心中的痛,健康,0,0.9413995
50,专访／“政策如吃大锅饭”应鬆绑 台大校长陈文章：否则难有世界级大学 国立台湾大学2028年将迎来百年校庆，校长陈文章近期说明包括设立百岁基金，拔萃讲座结合玉山学者等育才揽才计画，近日接受本报专访时也提出政策期望，他表示，政府力推前瞻基础建设，希望也能用于提升大专校院设施；再者，大学人事聘任、薪资等机制应再鬆绑，否则所有大学一同吃大锅饭，难有世界级顶大。,教育,1,0.9867948
51,货物通缩回来了 美通膨可能因此重返至2% 美国家电、家具、二手车在内部分货物价格开始下跌，经济学家认为，货物通缩的情况有利整体通货膨胀最快在明年下半年即可回到联准会（Fed）所设定的2%目标。,经济,15,0.97242403
52,名记者爆料俄乌军头秘密和谈 泽伦斯基被告知：有没有你，都会继续谈 阿拉伯独立媒体Al Mayadeen英文网报导，美国独立记者赫希（Seymour Hersh）确信俄罗斯参谋总长格拉西莫夫（Valery Gerasimov）和乌克兰武装部队总司令扎卢兹尼（Valeriy Zaluzhnyi）正在进行和谈。,军事,4,0.97395355
53,南投旅游请民宿代订4000元大餐 打开超傻眼：像菜市场买的 许多民众在国内旅游时，会请民宿代订餐点，不过近日就有一名网友分享，他到南投鱼池旅游，请民宿老闆代订一桌4000元的餐，没想到拿到餐点后，让他超傻眼，引发众人讨论。,旅游,12,0.97961783
54,人头户交易限制 明年上路…业者忧来不及改系统 知情人士透露，政府为严管人头户氾滥问题，内政部警政署和刑事局上周四透过金管会、银行公会邀集银行、信合社和电支业者开会，要求只要被认定为人头户且遭警方告诫，明年起未来五年内，除了每日可转帐和ＡＴＭ提现各一万元之外，其馀自动化交易几乎全面被冻结，由于新制上路仅剩不到一个月，业者担心系统来不及修改因此“炸锅”，全面冻结的指令能否延后上路，已引发整个金融圈高度关注。,经济,2,0.9882799
55,道歉也没用！最不能“忍受欺骗”四大星座 一旦遭背叛就信任瓦解 在感情中，诚实与信任非常重要，是维繫一段关係的基础。然而，有些人一旦发现自己被欺骗，就再也不会相信对方了。根据陆媒《搜狐网》运势专栏分享，感情中有“4个星座”最不能接受被欺骗，即使对方向他们道歉也于事无补。,文化娱乐,0,0.97767645
56,杀虫剂喷打火机为何烧掉家乐福？ 专家直指罐内“物质”危险 中坜区家乐福中原店B1地下一楼失火，竟是3 人持打火机用卖场杀虫剂喷洒助燃引发大火。记者曾增勳／翻摄桃园市中坜区家乐福中原店24小时量贩B1地下一楼，昨清晨突然失火，地下一楼商场商品付之一炬，警方初步调查，大火竟是一名男子在2友人怂恿下，在卖场清洁用品区，持打火机用卖场杀虫剂喷洒助燃，引发大火。,社会,6,0.9867935
57,捷运板桥站传意外 男搬运看板搭手扶梯遭夹送医 捷运新北板桥站今天下午2时51分发生意外，一名30馀岁男子搬运活动看板搭乘3号出口手扶梯时，未注意手扶梯与天花板高度，导致看板变形，男子遭看板压困，新北市消防人员获报到场协助脱困，男子肢体疼痛、意识清醒，送往板桥亚东医院，意外发生时也让周遭民众吓一大跳。,社会,3,0.9864114
58,五杨高架延伸头份在望 苗县府提短中长期配套降低衝击 国道1号五杨高架延伸苗栗县头份市预计2032年完工，县府提具头份交流道北上匝道拓宽增加1个车道，延长北上主线加速车道长度等配套，短、中、长期降低衝击头份交流道交通。,交通,9,0.98124856
59,15场选前大造势起跑 国民党：串联全国展现陆战实力 国民党今天表示，为回应主流民意要求政党轮替的期待、展现迈向胜选的坚强实力，宣布到明年总统大选1月13日之前，共有15场选前大型造势活动，凸显地方动员能力及超强陆战实力，为政党轮替吹起反攻的号角。,政治,13,0.9804667
60,"哈士奇散步途中鑽进树丛揪出“随地便溺男”饲主糗爆立刻逃跑：我不认识这隻傻狗 遛狗遇到超尴尬的事。一名饲主带自家哈士奇散步，二哈突然跑进草丛，揪出一个在裡面上厕所的路人，害主人当下不知所措，所幸直接跑掉。
",生活,8,0.97916347
61,联合报社论／没有一党独大，怎会有民选独裁？ 蔡英文总统最近辅选时连续强调没有一党独大那回事，国会过半好做事。前一句是蔡总统睁眼说的瞎话，后一句才是她的真心实话。正因为有国会过半的辗压式护航，才会有七四五天不开记者会的总统，才会有享尽权力滋味却绝不认错、从不改过的政府，才会有“圣意独裁”的民选皇帝，也才会讲得出一党独大不存在的超级假讯息。,政治,0,0.98557556
62,大巨蛋政治学 到底谁捣蛋？秦慧珠：前7年柯P卡蛋 最后1年内政部在卡 台北大巨蛋昨晚亚锦赛开幕战中韩大战，中华队四比零完胜韩国队。国民党议员秦慧珠大讚台北市长蒋万安做实事，一上任就派副市长李四川与中央努力沟通，才让大巨蛋风光开幕；外界将矛头指向台北市前市长柯文哲“卡蛋”，秦慧珠说，台北大巨蛋过去这8年，前7年是柯文哲在卡，最后1年是中央内政部卡蛋。,政治,4,0.9871563
63,晶片禁令！美来台画红线 商务部下月赴科学园区办说明会、AIT邀台厂与会 美国今年十月扩大管制对中国大陆出口晶片，美国商务部下月将派说明团来台，前往新竹与台南科学园区举办说明会，向我国的半导体制造、ＩＣ设计、材料和设备等业者说明禁令更新细节。,贸易,14,0.98005193
64,亚锦赛／大巨蛋比赛传警报声响 菲律宾教头坦言被吓一跳 亚锦赛今天迎来第2天赛程，儘管台北下大雨，但台北大巨蛋的泰国与菲律宾之战，仍如期举行。不料，比赛进行到7局下，球场竟出现“火灾警报”声音，两队球员都被吓到。,体育,3,0.97395444
65,两岸青年交流推手、北京台青郑博宇病逝 享年37岁 海峡两岸青年交流协会（简称“海青会”）理事会首任执行长、北京台青郑博宇，于12月3日因突发疾病，经全力抢救无效逝世，享年37岁。海青会发布的讣告称，郑博宇多年来奋战在两岸青年交流的领域，他的逝世，是海青会的遗憾。,体育,6,0.979618
66,"萧美琴双重国籍传言 事实查核中心：2002年已弃美籍 2024总统大选明年1月登场，近期各政党参选人是否放弃双重国籍引发诸多讨论，针对民进党副总统参选人萧美琴仍有美国籍传言，事实查核中心指出，她2002年就已放弃。
",政治,3,0.9746598
67,砂石车、复康巴士、小货车撞一团 云林车祸造成1命危2伤 云林县莿桐乡云156线和平路今早9时20分许，一辆砂石车在路口与一辆小货车相撞，因撞击猛烈，砂石车撞毁大排桥的护栏，悬空在桥上，一辆复康巴士驶抵现场闪避不及也撞上，3车撞在一起，砂石车司机受困被救出送医，小货车刘姓司机则无呼吸心跳呈现命危，送医急救中，复康巴士幸好空车，司机只受轻伤，这起车祸共造成一人命危两人受伤，案由警方处理中。,交通,7,0.9878232
68,下班注意！4县市大雨特报 恐一路下到晚上 下班要注意了，受锋面等影响，中央气象署下午4时针对北北基宜等4县市发布大雨特报，恐一路下到晚上。,气象,6,0.9665153
69,侯友宜感叹大巨蛋拖8年 黄珊珊：搞清楚烂摊子是谁留下 国民党总统参选人侯友宜昨天感叹，台北大巨蛋一拖就是8年，外界认为是在暗讽民众党总统参选人柯文哲。柯文哲竞选总干事黄珊珊今天回应，从台北市前市长马英九到郝龙斌，整整16年生不出一颗蛋，“烂摊子是谁留下来，请他先去搞清楚再来说。”,政治,4,0.9812482
70,挥军南下！以军地面入侵加萨全境 与哈玛斯在南部城市甘尤尼斯交火 路透报导，以色列当地时间3日表示对加萨全境展开地面入侵行动，这是国防军迄今为止挥军南下最明白的宣告，哈玛斯也证实在距离南部城市甘尤尼斯（Khan Yunis）两公里处和以军发生交火。,军事,8,0.9791645
71,高雄新建大楼7楼顶楼失火 火光照亮夜空消防抢救控制 高雄市新兴区大同一路和瑞源路口一栋新建中的大楼昨深夜11时21分许传出火警，火苗从7楼顶楼处窜出，建材易燃，浓烟向上窜烧，火势从高处往低楼层烧，火光照亮夜空，从一公里外即可见，消防局出动12车20前往灌救，幸未传人员受伤。,社会,2,0.98383415
72,赖清德屡喊中捷到南投 许淑华不忍了...揭中捷延伸真相 民进党总统参选人赖清德屡开支票喊“当选后台中捷运延到南投”，台中市议员江和树今质询质疑赖清德“为何现在不做”；南投县长许淑华则痛批，民进党跟赖清德根本没把民生意见摆第一，只把中捷到南投当政治筹码，民众都看在眼裡。,政治,13,0.9819693
73,“黄珊珊看错了大巨蛋” 游梓翔点名柯文哲、内政部卡蛋 台北大巨蛋昨天亚洲棒球锦标赛首战，中华队夺下首胜，举国欢腾。民众党总统参选人柯文哲竞选的总干事黄珊珊今指内政部卡蛋1年多，“不然2022年底早就可以启用”。世新大学传播博士学程教授游梓翔在脸书表示，柯文哲和内政部先后卡蛋，黄珊珊看错了大巨蛋。,政治,1,0.5076736
74,NBA／詹皇与火箭教头互呛内容曝光 布鲁克斯尝试当和事佬 火箭昨天以97：107不敌湖人，苦吞开季客场8连败。比赛中，火箭教头尤多卡（Ime Udoka）和湖人一哥詹姆斯（LeBron James）互呛，各被吹1次技术犯规，如今对话内容也曝光。,体育,10,0.972424
75,吴欣盈成自走砲？ 孙大千惊“不是我认识的她”：过去媒体操作很精准 2024总统大选剩不到40天，由民进党赖清德搭配萧美琴、国民党侯友宜搭配赵少康、民众党柯文哲搭配吴欣盈相互竞逐。其中民众党的吴欣盈因率性发言频惹议，国民党前立委孙大千对此指出，吴欣盈过去对媒体的操作是非常精准的，因此看到她近期的表现，实在觉得万分讶异且离谱。,政治,12,0.9829533
76,联合报黑白集／放下政治，郭董路更宽 最后一刻弃选的郭台铭，蛰伏多日后，发文谈其“人生两大打击”：前妻和弟弟罹癌去世。这些痛苦，化为他捐款兴建癌症医院的大爱，要帮为癌所苦的人奋战。郭董文中未提选举，彷彿此事已经与他无关；两度弃选总统，并非他人生的沉痛打击。,政治,7,0.9812473
